age_op,age_th,priors_op,priors_th,score_op,score_th,charge_val,original_spd,selected_rows,repair_age_th,repair_priors_th,repair_score_th,repair_charge_val,repair_spd,distance,male_ratio,female_ratio,positive_rate,male_positive_rate,female_positive_rate
<=,22,<=,10,>=,5,1,0.26552380952380955,445,22,10,5,0,0.1872391174716756,1,0.8426966292134831,0.15730337078651685,0.6808988764044944,0.7226666666666667,0.45714285714285713
<=,27,<=,2,<=,2,0,0.2364485981308411,127,27,2,2,1,0.034896401308615044,1,0.84251968503937,0.15748031496062992,0.2992125984251969,0.3364485981308411,0.1
<=,26,<=,3,>=,2,0,0.23111382947069126,555,26,3,2,1,0.16062623274161736,1,0.7315315315315315,0.26846846846846845,0.45765765765765765,0.5197044334975369,0.28859060402684567
<=,48,>=,6,<=,5,1,-0.21888111888111883,217,48,5,5,1,-0.17905675459632298,1,0.8986175115207373,0.10138248847926268,0.576036866359447,0.5538461538461539,0.7727272727272727
>=,46,>=,3,>=,5,1,0.24867724867724866,216,45,2,6,1,0.1923076923076923,3,0.875,0.125,0.625,0.656084656084656,0.4074074074074074
<=,36,>=,10,<=,8,1,0.5198653198653199,146,36,9,7,1,0.003819709702062579,2,0.9246575342465754,0.07534246575342465,0.7534246575342466,0.7925925925925926,0.2727272727272727
>=,50,>=,3,>=,3,1,0.2258064516129032,210,50,2,3,1,0.1938461538461539,1,0.8857142857142857,0.11428571428571428,0.5333333333333333,0.5591397849462365,0.3333333333333333
<=,24,<=,2,>=,9,1,0.25396825396825395,144,24,2,8,1,0.1811835633825163,1,0.875,0.125,0.7222222222222222,0.753968253968254,0.5
<=,24,<=,8,>=,1,0,0.22331635540464068,424,24,8,1,1,0.19624013932998668,1,0.7311320754716981,0.2688679245283019,0.5141509433962265,0.5741935483870968,0.3508771929824561
>=,46,>=,6,>=,6,1,0.20676691729323304,151,45,6,6,1,0.17507309941520466,1,0.8807947019867549,0.11920529801324503,0.6821192052980133,0.706766917293233,0.5
<=,23,<=,8,>=,4,0,0.2213677766163954,255,23,8,4,1,0.17228973940383335,1,0.7098039215686275,0.2901960784313726,0.5490196078431373,0.6132596685082873,0.3918918918918919
<=,29,<=,3,>=,6,0,0.20476408612001834,244,28,3,6,0,0.19419237749546286,1,0.7581967213114754,0.24180327868852458,0.5450819672131147,0.5945945945945946,0.3898305084745763
<=,53,>=,10,>=,3,0,-0.2432432432432432,122,53,9,3,0,-0.13779239766081874,1,0.9098360655737705,0.09016393442622951,0.7786885245901639,0.7567567567567568,1.0
<=,26,<=,10,<=,4,0,0.26285980810234544,291,26,10,4,1,0.13412836660860245,1,0.7697594501718213,0.23024054982817868,0.38144329896907214,0.4419642857142857,0.1791044776119403
<=,27,<=,9,<=,3,0,0.2620383356708742,232,27,9,3,1,0.11363636363636365,1,0.8017241379310345,0.19827586206896552,0.34051724137931033,0.3924731182795699,0.13043478260869565
<=,24,<=,10,>=,6,1,0.2100824350031706,593,24,10,6,0,0.17562913907284772,1,0.8397976391231029,0.16020236087689713,0.6711635750421585,0.7048192771084337,0.49473684210526314
<=,26,<=,8,>=,7,1,0.20288407244928974,597,26,8,6,1,0.16300906212468602,1,0.847571189279732,0.152428810720268,0.6884422110552764,0.7193675889328063,0.5164835164835165
<=,22,<=,4,>=,5,1,0.26461352657004833,429,22,4,5,0,0.17135709818636652,1,0.8391608391608392,0.16083916083916083,0.6713286713286714,0.7138888888888889,0.4492753623188406
<=,59,>=,10,>=,5,0,-0.2545454545454545,121,59,9,5,0,-0.14788169464428458,1,0.9090909090909091,0.09090909090909091,0.768595041322314,0.7454545454545455,1.0
<=,28,>=,7,>=,3,1,0.22412060301507541,209,28,6,3,1,0.16717042548244587,1,0.9521531100478469,0.04784688995215311,0.8133971291866029,0.8241206030150754,0.6
>=,51,>=,2,<=,7,0,0.20362473347547974,148,50,2,7,0,0.091324200913242,1,0.9054054054054054,0.0945945945945946,0.39864864864864863,0.417910447761194,0.21428571428571427
<=,47,<=,5,>=,9,0,0.4971014492753624,107,47,5,9,1,0.00824547174912138,1,0.8598130841121495,0.14018691588785046,0.5607476635514018,0.6304347826086957,0.13333333333333333
>=,51,>=,3,>=,5,1,0.27170868347338933,134,52,3,5,1,0.09999999999999998,1,0.8880597014925373,0.11194029850746269,0.5746268656716418,0.6050420168067226,0.3333333333333333
<=,55,<=,5,>=,8,0,0.2032866707242848,190,55,4,8,0,0.17315270935960592,1,0.8368421052631579,0.1631578947368421,0.5894736842105263,0.6226415094339622,0.41935483870967744
<=,39,>=,7,<=,5,1,-0.2395604395604396,101,39,6,5,1,-0.1333632689717109,1,0.900990099009901,0.09900990099009901,0.5841584158415841,0.5604395604395604,0.8
<=,50,<=,5,>=,8,0,0.20885028949545076,187,50,4,8,0,0.17946136420840675,1,0.8342245989304813,0.1657754010695187,0.5935828877005348,0.6282051282051282,0.41935483870967744
<=,57,<=,1,>=,6,0,0.20247005988023947,231,57,1,5,0,0.1163345256344745,1,0.7229437229437229,0.27705627705627706,0.4588744588744589,0.5149700598802395,0.3125
<=,60,<=,1,>=,6,0,0.20247005988023947,231,60,1,5,0,0.1163345256344745,1,0.7229437229437229,0.27705627705627706,0.4588744588744589,0.5149700598802395,0.3125
>=,20,<=,5,>=,8,0,0.20624999999999993,190,19,5,8,0,0.19414209380566,1,0.8421052631578947,0.15789473684210525,0.5736842105263158,0.60625,0.4
>=,49,>=,3,>=,6,1,0.3053221288515406,131,48,2,7,1,0.15957446808510634,3,0.9083969465648855,0.0916030534351145,0.6106870229007634,0.6386554621848739,0.3333333333333333
<=,28,>=,8,>=,2,1,0.24076433121019114,162,28,7,2,1,0.18775696665143904,1,0.9691358024691358,0.030864197530864196,0.8333333333333334,0.8407643312101911,0.6
<=,24,>=,1,>=,3,1,0.230958988590811,656,24,1,3,0,0.1821192052980133,1,0.8597560975609756,0.1402439024390244,0.676829268292683,0.7092198581560284,0.4782608695652174
<=,24,<=,7,>=,2,0,0.225174586952819,423,24,7,2,1,0.1910252394748519,1,0.7304964539007093,0.2695035460992908,0.5153664302600472,0.5760517799352751,0.3508771929824561
<=,25,<=,9,>=,3,0,0.21999038293407935,477,25,9,3,1,0.19354530409806792,1,0.7211740041928721,0.27882599580712786,0.5345911949685535,0.5959302325581395,0.37593984962406013
>=,44,<=,9,>=,5,1,0.22247899159663864,171,44,9,4,1,0.19944925255704166,1,0.7953216374269005,0.2046783625730994,0.49122807017543857,0.5367647058823529,0.3142857142857143
<=,22,<=,9,<=,8,1,0.2193091695615128,491,21,9,8,1,0.14812942366026288,1,0.8513238289205702,0.14867617107942974,0.570264765784114,0.6028708133971292,0.3835616438356164
<=,46,<=,6,>=,9,0,0.44515306122448983,114,46,6,8,0,0.18900602409638556,1,0.8596491228070176,0.14035087719298245,0.5701754385964912,0.6326530612244898,0.1875
>=,51,>=,2,>=,2,0,0.2387755102040816,103,50,2,2,0,0.07142857142857145,1,0.9514563106796117,0.04854368932038835,0.42718446601941745,0.4387755102040816,0.2
<=,28,>=,9,>=,5,1,0.2028985507246377,118,28,9,4,1,0.19774011299435035,1,0.9745762711864406,0.025423728813559324,0.864406779661017,0.8695652173913043,0.6666666666666666
<=,25,<=,5,<=,6,0,0.25778656126482213,353,25,5,6,1,0.13853934694534625,1,0.71671388101983,0.28328611898017,0.4447592067988669,0.5177865612648221,0.26
>=,26,>=,10,>=,6,0,-0.2551020408163265,108,26,9,6,0,-0.1333333333333333,1,0.9074074074074074,0.09259259259259259,0.7685185185185185,0.7448979591836735,1.0
>=,25,>=,9,<=,5,1,-0.34628099173553717,131,25,9,6,1,0.0007739938080495445,1,0.9236641221374046,0.07633587786259542,0.5801526717557252,0.5537190082644629,0.9
<=,23,<=,9,>=,4,0,0.2213677766163954,255,23,9,4,1,0.1728462130472181,1,0.7098039215686275,0.2901960784313726,0.5490196078431373,0.6132596685082873,0.3918918918918919
<=,24,<=,2,<=,6,0,0.27084089095262276,256,24,2,6,1,0.1304291117777488,1,0.69921875,0.30078125,0.41015625,0.49162011173184356,0.22077922077922077
<=,57,>=,0,>=,9,0,0.3001242236024844,198,57,0,8,0,0.11577311577311578,1,0.8838383838383839,0.11616161616161616,0.6565656565656566,0.6914285714285714,0.391304347826087
<=,22,<=,2,<=,9,0,0.2207463630613536,175,21,2,9,0,0.060882800608828,1,0.7085714285714285,0.2914285714285714,0.5485714285714286,0.6129032258064516,0.39215686274509803
<=,22,>=,1,<=,10,1,0.2533333333333333,370,21,1,10,1,0.1636429608127722,1,0.8783783783783784,0.12162162162162163,0.6891891891891891,0.72,0.4666666666666667
<=,33,>=,9,>=,6,1,0.21938775510204078,265,33,9,7,1,0.13750628456510816,1,0.9245283018867925,0.07547169811320754,0.8528301886792453,0.8693877551020408,0.65
<=,24,<=,4,<=,5,0,0.23221153846153847,225,24,4,5,1,0.1825900959294789,1,0.7111111111111111,0.28888888888888886,0.4266666666666667,0.49375,0.26153846153846155
>=,24,>=,10,>=,3,0,-0.2846153846153846,141,24,9,3,0,-0.17352472089314197,1,0.9219858156028369,0.07801418439716312,0.7375886524822695,0.7153846153846154,1.0
<=,27,>=,0,<=,6,0,0.20663972600257324,536,27,0,5,0,0.1965064388626801,1,0.7406716417910447,0.2593283582089552,0.4048507462686567,0.45843828715365237,0.2517985611510791
<=,33,<=,5,>=,8,0,0.20370370370370372,165,32,5,8,0,0.18051201671891326,1,0.8181818181818182,0.18181818181818182,0.6,0.6370370370370371,0.43333333333333335
<=,25,<=,6,>=,3,0,0.2199962641262726,461,25,6,3,1,0.1882048722468832,1,0.720173535791757,0.279826464208243,0.5227765726681128,0.5843373493975904,0.3643410852713178
<=,25,<=,0,>=,1,0,0.22876741390283573,258,25,0,1,1,0.1274437927663734,1,0.6937984496124031,0.3062015503875969,0.3992248062015504,0.4692737430167598,0.24050632911392406
<=,22,<=,9,>=,3,0,0.22467532467532475,195,21,9,3,0,0.057909055577147206,1,0.717948717948718,0.28205128205128205,0.5794871794871795,0.6428571428571429,0.41818181818181815
<=,24,<=,9,>=,4,0,0.2152676970369738,337,24,9,5,0,0.19738824711200403,1,0.7091988130563798,0.29080118694362017,0.5608308605341247,0.6234309623430963,0.40816326530612246
<=,22,>=,0,<=,6,0,0.2816326530612245,138,21,0,6,1,0.17984496124031008,2,0.7101449275362319,0.2898550724637681,0.5,0.5816326530612245,0.3
>=,47,>=,7,>=,6,1,0.2024793388429752,137,46,7,6,1,0.180511899416255,1,0.8832116788321168,0.11678832116788321,0.6788321167883211,0.7024793388429752,0.5
<=,24,<=,3,>=,4,0,0.22078126640764467,303,23,3,4,1,0.17436930252278993,2,0.7062706270627063,0.29372937293729373,0.5379537953795379,0.602803738317757,0.38202247191011235
>=,24,<=,9,>=,9,0,0.3420289855072464,107,24,9,8,0,0.17201510146295423,1,0.8598130841121495,0.14018691588785046,0.5607476635514018,0.6086956521739131,0.26666666666666666
>=,31,<=,10,>=,7,0,0.20582120582120578,124,31,9,7,0,0.19706959706959704,1,0.8951612903225806,0.10483870967741936,0.49193548387096775,0.5135135135135135,0.3076923076923077
<=,36,>=,9,>=,8,1,0.20818644731688207,245,36,8,8,1,0.18333333333333335,1,0.9061224489795918,0.09387755102040816,0.8408163265306122,0.8603603603603603,0.6521739130434783
<=,28,<=,6,>=,2,0,0.20289387429308964,785,27,6,2,0,0.19298690325306295,1,0.7426751592356687,0.2573248407643312,0.467515923566879,0.5197255574614065,0.31683168316831684
<=,28,<=,0,>=,1,0,0.20997059609730018,374,27,0,1,0,0.1942307692307692,1,0.6898395721925134,0.31016042780748665,0.3689839572192513,0.43410852713178294,0.22413793103448276
<=,20,<=,4,>=,3,1,0.26863354037267084,166,21,4,3,1,0.17435158501440917,1,0.8313253012048193,0.1686746987951807,0.7590361445783133,0.8043478260869565,0.5357142857142857
<=,45,>=,6,<=,5,1,-0.20775552131484332,199,44,6,5,1,-0.18113772455089816,1,0.8894472361809045,0.11055276381909548,0.5879396984924623,0.5649717514124294,0.7727272727272727
>=,47,>=,3,>=,6,1,0.2155555555555556,168,47,3,7,1,0.08974358974358976,1,0.8928571428571429,0.10714285714285714,0.6369047619047619,0.66,0.4444444444444444
>=,46,>=,4,>=,5,1,0.23209549071618035,200,45,4,6,1,0.18840579710144933,2,0.87,0.13,0.625,0.6551724137931034,0.4230769230769231
<=,20,<=,10,<=,9,1,0.2739515198153135,136,21,10,9,1,0.18413729128014839,1,0.8308823529411765,0.16911764705882354,0.7058823529411765,0.7522123893805309,0.4782608695652174
<=,21,<=,0,<=,6,1,0.2526315789473685,114,21,1,6,1,0.16883116883116883,1,0.8333333333333334,0.16666666666666666,0.47368421052631576,0.5157894736842106,0.2631578947368421
>=,29,>=,10,<=,5,1,-0.23758865248226957,100,29,10,6,1,0.053405193532581996,1,0.94,0.06,0.61,0.5957446808510638,0.8333333333333334
<=,42,<=,0,>=,6,0,0.20250849229161216,132,42,0,5,0,0.15027426967725477,1,0.6742424242424242,0.32575757575757575,0.4621212121212121,0.5280898876404494,0.32558139534883723
<=,26,<=,2,>=,3,0,0.22015182884748102,425,26,2,3,1,0.16931702742830346,1,0.7035294117647058,0.2964705882352941,0.45647058823529413,0.5217391304347826,0.30158730158730157
<=,27,>=,8,<=,10,1,0.3650793650793651,130,28,7,10,1,0.18775696665143904,2,0.9692307692307692,0.03076923076923077,0.8538461538461538,0.8650793650793651,0.5
<=,21,<=,9,<=,7,1,0.23473654864789512,245,21,9,6,1,0.17984496124031008,1,0.8612244897959184,0.13877551020408163,0.5551020408163265,0.5876777251184834,0.35294117647058826
<=,24,<=,7,<=,4,0,0.31937799043062204,170,24,7,4,1,0.1655844155844156,1,0.7764705882352941,0.2235294117647059,0.40588235294117647,0.4772727272727273,0.15789473684210525
>=,49,>=,5,>=,2,1,0.24202320522117476,225,49,6,2,1,0.17852805440854985,1,0.8755555555555555,0.12444444444444444,0.5333333333333333,0.5634517766497462,0.32142857142857145
<=,23,<=,10,>=,6,1,0.21601941747572817,486,23,10,5,1,0.1941022686990429,1,0.8477366255144033,0.1522633744855967,0.6831275720164609,0.7160194174757282,0.5
<=,26,<=,5,<=,5,0,0.21032592141334144,366,26,5,5,1,0.14366269383570418,1,0.73224043715847,0.2677595628415301,0.3989071038251366,0.4552238805970149,0.24489795918367346
>=,51,>=,4,>=,4,1,0.30289727831431074,151,52,4,4,1,0.16184573002754815,1,0.8874172185430463,0.11258278145695365,0.5629139072847682,0.5970149253731343,0.29411764705882354
<=,22,>=,2,>=,6,1,0.2589285714285714,128,23,2,6,1,0.17701863354037262,1,0.875,0.125,0.7890625,0.8214285714285714,0.5625
>=,51,>=,0,>=,2,0,0.23220338983050848,138,50,0,2,0,0.1495098039215686,1,0.855072463768116,0.14492753623188406,0.39855072463768115,0.4322033898305085,0.2
<=,31,<=,0,<=,3,0,0.25136612021857924,247,31,0,3,1,0.08874139626352015,1,0.7530364372469636,0.24696356275303644,0.27125506072874495,0.3333333333333333,0.08196721311475409
<=,20,<=,3,<=,8,1,0.3026113671274962,114,21,3,8,1,0.15316511730854365,1,0.8157894736842105,0.18421052631578946,0.6754385964912281,0.7311827956989247,0.42857142857142855
<=,24,<=,3,>=,4,1,0.21160882581217427,767,23,3,4,1,0.17436930252278993,1,0.8109517601043025,0.18904823989569752,0.5853976531942634,0.6254019292604501,0.41379310344827586
>=,46,>=,1,>=,4,1,0.23050628233555065,305,46,1,3,1,0.16969009826152687,1,0.8655737704918033,0.13442622950819672,0.5409836065573771,0.571969696969697,0.34146341463414637
>=,49,>=,2,>=,2,1,0.241025641025641,305,49,1,2,1,0.18181818181818182,1,0.8524590163934426,0.14754098360655737,0.4721311475409836,0.5076923076923077,0.26666666666666666
<=,25,<=,4,<=,10,0,0.2092074592074592,496,25,4,9,0,0.19494912790697672,1,0.7338709677419355,0.2661290322580645,0.5020161290322581,0.5576923076923077,0.3484848484848485
>=,23,<=,8,>=,9,0,0.4461538461538461,108,23,8,8,0,0.16756635177687812,1,0.8796296296296297,0.12037037037037036,0.5462962962962963,0.6,0.15384615384615385
