age_op,age_th,edu_op,edu_th,hours_op,hours_th,gain_val,original_spd,selected_rows,selectivity,male_ratio,female_ratio,positive_rate,male_positive_rate,female_positive_rate,age_percentile,edu_percentile,hours_percentile,repair_age_op,repair_age_th,repair_edu_op,repair_edu_th,repair_hours_op,repair_hours_th,repair_gain_val,repair_spd,distance,delta_age,delta_edu,delta_hours,delta_gain
<=,59,>=,14,>=,21,0,0.36422300623564163,1913,0.05875126685298363,0.7239937271301621,0.276006272869838,0.5875588081547308,0.688086642599278,0.32386363636363635,0.9187985626977059,0.9696262399803446,0.0906606062467369,<=,59,>=,16,>=,21,0,0.19136212624584725,0.14285714285714285,0,2,0,0
>=,27,>=,12,<=,46,0,0.2799770776800806,4643,0.14259390067872607,0.6674563859573551,0.3325436140426448,0.40060305836743487,0.4937076476282672,0.21373056994818654,0.2466447590675962,0.7522496237830534,0.7832683271398299,>=,27,>=,9,<=,46,0,0.1956224089680777,0.25,0,-3,0,0
<=,54,>=,5,<=,59,1,0.21094150377040777,1863,0.057215687478885786,0.7471819645732689,0.2528180354267311,0.6162104133118625,0.6695402298850575,0.4585987261146497,0.8615521636313381,0.05257823776911028,0.9206105463591413,<=,54,>=,5,<=,59,0,0.1623544607574184,1.0,0,0,0,-1
>=,42,>=,6,>=,53,1,0.20454545454545459,242,0.00743220417063358,0.9090909090909091,0.09090909090909091,0.8223140495867769,0.8409090909090909,0.6363636363636364,0.6359141304014004,0.08123214888977612,0.8935229262000552,>=,42,>=,6,>=,50,1,0.18678347393467443,0.05660377358490566,0,0,-3,0
<=,42,>=,12,>=,48,0,0.23010752688172048,1364,0.04189060532538927,0.7954545454545454,0.20454545454545456,0.49486803519061584,0.5419354838709678,0.3118279569892473,0.6359141304014004,0.7522496237830534,0.8006510856546175,<=,36,>=,12,>=,48,0,0.1709057612929481,0.14285714285714285,-6,0,0,0
<=,43,<=,15,>=,56,0,0.2063755743168652,1484,0.0455759958232241,0.8470350404312669,0.15296495956873316,0.3025606469002695,0.3341288782816229,0.1277533039647577,0.6595620527625073,0.9873161143699518,0.9190749669850434,<=,43,<=,15,>=,55,0,0.19921778241314125,0.017857142857142856,0,0,-1,0
<=,43,>=,14,<=,54,0,0.29292510663282045,888,0.027271889683977764,0.6722972972972973,0.3277027027027027,0.47184684684684686,0.5678391959798995,0.27491408934707906,0.6595620527625073,0.9696262399803446,0.8947821012868156,<=,43,>=,16,<=,54,0,0.19179487179487176,0.14285714285714285,0,2,0,0
<=,46,>=,11,>=,31,1,0.2250840981768346,804,0.024692116335493383,0.7524875621890548,0.24751243781094528,0.7723880597014925,0.828099173553719,0.6030150753768844,0.7269739872854027,0.7194803599398053,0.16123583428027394,<=,43,>=,11,>=,31,1,0.19754208165880371,0.06521739130434782,-3,0,0,0
<=,46,>=,11,<=,48,1,0.20519833427442125,513,0.01575504437824391,0.6861598440545809,0.3138401559454191,0.6998050682261209,0.7642045454545454,0.5590062111801242,0.7269739872854027,0.7194803599398053,0.8006510856546175,<=,45,>=,11,<=,48,1,0.19002805704933368,0.021739130434782608,-1,0,0,0
>=,34,>=,1,>=,29,0,0.25248340671439284,15705,0.4823254814041338,0.7154409423750397,0.2845590576249602,0.3160140082776186,0.3878604485582058,0.13537704184381294,0.4314670925340131,0.001566290961579804,0.12579466232609562,>=,37,>=,1,>=,29,1,0.1995861968624565,1.088235294117647,3,0,0,1
>=,53,>=,10,>=,47,0,0.31604938271604943,495,0.015202235803568687,0.8181818181818182,0.18181818181818182,0.5474747474747474,0.6049382716049383,0.28888888888888886,0.848806854826326,0.6770369460397407,0.7847731949264457,>=,53,>=,10,>=,47,1,0.1228813559322034,1.0,0,0,0,1
<=,59,>=,15,<=,51,0,0.33930362116991647,459,0.014096618654218237,0.7821350762527233,0.2178649237472767,0.6753812636165577,0.7493036211699164,0.41,0.9187985626977059,0.9873161143699518,0.8885169374404963,<=,59,>=,16,<=,52,0,0.19527476830700952,0.08627450980392157,0,1,1,0
>=,41,>=,15,<=,46,0,0.37273399926008133,263,0.008077147507754677,0.8060836501901141,0.19391634980988592,0.6730038022813688,0.7452830188679245,0.37254901960784315,0.6119590921654741,0.9873161143699518,0.7832683271398299,>=,41,>=,14,<=,46,1,0.15494505494505495,1.0666666666666667,0,-1,0,1
>=,53,<=,14,>=,56,0,0.2523577954612437,313,0.009612726881852524,0.8338658146964856,0.16613418530351437,0.3450479233226837,0.38697318007662834,0.1346153846153846,0.848806854826326,0.9696262399803446,0.9190749669850434,>=,53,<=,14,>=,61,0,0.18272171253822633,0.08928571428571429,0,0,5,0
>=,44,>=,11,>=,42,0,0.38527284681130836,1248,0.03832806117748226,0.8125,0.1875,0.625,0.6972386587771203,0.31196581196581197,0.6817972420994441,0.7194803599398053,0.7135837351432696,>=,43,>=,11,>=,42,1,0.18967633072557144,1.0227272727272727,-1,0,0,1
>=,34,>=,12,<=,41,0,0.28373679261820905,2923,0.08976997020976014,0.6722545330140267,0.3277454669859733,0.4245638043106398,0.517557251908397,0.23382045929018788,0.4314670925340131,0.7522496237830534,0.7068578974847209,>=,34,>=,12,<=,39,0,0.12235900273176803,0.04878048780487805,0,0,-2,0
<=,47,<=,14,>=,39,1,0.20918483197093551,1389,0.04265839501243819,0.7926565874730022,0.20734341252699784,0.6033117350611951,0.6466848319709355,0.4375,0.7487177912226283,0.9696262399803446,0.23841405362243173,<=,46,<=,14,>=,39,1,0.19637586939921164,0.02127659574468085,-1,0,0,0
>=,54,>=,12,>=,34,1,0.23277467411545627,206,0.0063265870212831305,0.8689320388349514,0.13106796116504854,0.8689320388349514,0.8994413407821229,0.6666666666666666,0.8615521636313381,0.7522496237830534,0.1714627929117656,>=,53,>=,12,>=,34,1,0.1767676767676768,0.018518518518518517,-1,0,0,0
>=,28,>=,6,<=,56,1,0.21213510781320022,2070,0.06357298608765087,0.7661835748792271,0.23381642512077294,0.6666666666666666,0.7162673392181589,0.5041322314049587,0.2732717054144529,0.08123214888977612,0.9190749669850434,>=,26,>=,6,<=,54,1,0.1998839562919777,0.10714285714285714,-2,0,-2,0
<=,41,>=,11,>=,41,0,0.249145179276327,2032,0.06240594576333651,0.7701771653543307,0.2298228346456693,0.4424212598425197,0.4996805111821086,0.2505353319057816,0.6119590921654741,0.7194803599398053,0.7068578974847209,<=,36,>=,11,>=,41,0,0.18541745056231446,0.12195121951219512,-5,0,0,0
<=,56,>=,6,>=,23,1,0.22240984388314294,2113,0.06489358434937502,0.779460482725982,0.220539517274018,0.6540463795551349,0.7030965391621129,0.48068669527896996,0.8856607598046743,0.08123214888977612,0.09265685943306409,<=,56,>=,6,>=,23,0,0.18832496111674613,1.0,0,0,0,-1
>=,53,>=,4,>=,31,1,0.22208059613687625,528,0.016215718190473266,0.821969696969697,0.17803030303030304,0.6931818181818182,0.7327188940092166,0.5106382978723404,0.848806854826326,0.036792481803384416,0.16123583428027394,>=,56,>=,4,>=,31,1,0.19648562300319494,0.05660377358490566,3,0,0,0
<=,43,<=,10,>=,42,1,0.30377880184331796,242,0.00743220417063358,0.8966942148760331,0.10330578512396695,0.512396694214876,0.543778801843318,0.24,0.6595620527625073,0.6770369460397407,0.7135837351432696,<=,41,<=,10,>=,40,1,0.1887990762124711,0.09413067552602436,-2,0,-2,0
<=,60,>=,4,>=,22,1,0.21031702775128308,2282,0.07008384263382575,0.7843996494303243,0.21560035056967572,0.6507449605609115,0.6960893854748603,0.48577235772357724,0.9283805779920764,0.036792481803384416,0.092011916095943,<=,60,>=,4,>=,22,0,0.1865065001424348,1.0,0,0,0,-1
>=,57,>=,2,<=,40,1,0.21765517241379312,337,0.01034980498141949,0.7418397626112759,0.258160237388724,0.47181008902077154,0.528,0.3103448275862069,0.8966555081232149,0.00672583765854857,0.7057522803353705,>=,57,>=,2,<=,39,1,0.14835368109507957,0.025,0,0,-1,0
>=,53,<=,14,<=,59,0,0.2272245690147277,4233,0.13000214981112374,0.6732813607370659,0.3267186392629341,0.24120009449562957,0.3154385964912281,0.08821402747650037,0.848806854826326,0.9696262399803446,0.9206105463591413,>=,57,<=,14,<=,59,0,0.19791707527556582,0.07547169811320754,4,0,0,0
<=,41,<=,14,>=,58,1,0.246969696969697,122,0.003746813672798747,0.9016393442622951,0.09836065573770492,0.639344262295082,0.6636363636363637,0.4166666666666667,0.6119590921654741,0.9696262399803446,0.9204569884217315,<=,41,<=,14,>=,58,0,0.1921143172371076,1.0,0,0,0,-1
>=,47,>=,14,<=,56,0,0.352603034673275,723,0.02220447774945487,0.7482710926694329,0.2517289073305671,0.6154910096818811,0.7042513863216266,0.3516483516483517,0.7487177912226283,0.9696262399803446,0.9190749669850434,>=,47,>=,14,<=,56,1,0.14473684210526316,1.0,0,0,0,1
>=,53,<=,13,>=,43,0,0.2388122225713158,932,0.02862319953318387,0.8272532188841202,0.17274678111587982,0.3776824034334764,0.41893644617380027,0.18012422360248448,0.848806854826326,0.9167101747489328,0.7182211848530451,>=,54,<=,12,>=,43,0,0.1998934418289257,0.09579100145137881,1,-1,0,0
>=,32,<=,14,>=,60,0,0.26651748251748253,1583,0.04861644298393784,0.868603916614024,0.131396083385976,0.38534428300694884,0.4203636363636364,0.15384615384615385,0.3773839869782869,0.9696262399803446,0.9659101378950278,>=,31,<=,14,>=,62,0,0.19894179894179892,0.06458333333333333,-1,0,2,0
>=,47,<=,11,>=,47,0,0.2442224388527702,1026,0.03151008875648782,0.8469785575048733,0.1530214424951267,0.3469785575048733,0.38434982738780205,0.14012738853503184,0.7487177912226283,0.7194803599398053,0.7847731949264457,>=,51,<=,11,>=,47,0,0.19360269360269364,0.0851063829787234,4,0,0,0
>=,39,<=,12,>=,37,1,0.2308961620190652,782,0.024016461410890328,0.8350383631713555,0.1649616368286445,0.5959079283887468,0.6339969372128637,0.40310077519379844,0.562759129019379,0.7522496237830534,0.2226282976567059,>=,40,<=,11,>=,37,1,0.19977823538729605,0.10897435897435898,1,-1,0,0
>=,30,>=,8,>=,51,0,0.2632449272938179,2398,0.07364638678173274,0.8494578815679733,0.1505421184320267,0.4424520433694746,0.48208149239077075,0.2188365650969529,0.3246829028592488,0.13061638156076288,0.8885169374404963,>=,30,>=,8,>=,51,1,0.19036619335552685,1.0,0,0,0,1
>=,50,>=,11,<=,46,1,0.3017182130584193,239,0.00734006940818771,0.8117154811715481,0.18828451882845187,0.7782426778242678,0.8350515463917526,0.5333333333333333,0.8016031448665581,0.7194803599398053,0.7832683271398299,>=,50,>=,13,<=,46,1,0.19041811846689893,0.18181818181818182,0,2,0,0
>=,31,>=,1,>=,24,0,0.23402542793584136,18435,0.5661681152298762,0.7078383509628424,0.2921616490371576,0.29617575264442636,0.36454900758678827,0.1305235796509469,0.35195479254322654,0.001566290961579804,0.10039617947851724,>=,30,>=,1,>=,24,1,0.19590674979669287,1.032258064516129,-1,0,0,1
>=,36,<=,11,<=,56,1,0.20930018416206259,934,0.028684622708147783,0.7751605995717344,0.22483940042826553,0.5289079229122056,0.5759668508287292,0.36666666666666664,0.4859494487270047,0.7194803599398053,0.9190749669850434,>=,37,<=,11,<=,56,1,0.19983349664414696,0.027777777777777776,1,0,0,0
>=,35,>=,5,<=,52,0,0.2409367703985991,13728,0.4216086729523049,0.6695075757575758,0.33049242424242425,0.29421620046620045,0.37384397780437384,0.13290720740577475,0.45837044316820735,0.05257823776911028,0.8927551365130063,>=,35,>=,5,<=,49,1,0.19824738032830513,1.0576923076923077,0,0,-3,1
>=,28,>=,6,>=,59,0,0.23282799925135694,1917,0.05887411320291146,0.8575899843505478,0.14241001564945227,0.4047991653625456,0.43795620437956206,0.20512820512820512,0.2732717054144529,0.08123214888977612,0.9206105463591413,>=,29,>=,6,>=,57,1,0.19244028564393,1.0696125907990315,1,0,-2,1
<=,59,>=,7,>=,57,1,0.2236559139784946,278,0.00853782131998403,0.8920863309352518,0.1079136690647482,0.7661870503597122,0.7903225806451613,0.5666666666666667,0.9187985626977059,0.11731826418107552,0.9195970639722367,<=,63,>=,8,>=,57,1,0.19681274900398404,0.21065375302663436,4,1,0,0
<=,56,>=,13,>=,56,0,0.3320146685755909,715,0.021958785049599215,0.806993006993007,0.193006993006993,0.5650349650349651,0.6291161178509532,0.2971014492753623,0.8856607598046743,0.9167101747489328,0.9190749669850434,<=,56,>=,15,>=,55,0,0.19780219780219788,0.1717032967032967,0,2,-1,0
>=,40,>=,5,>=,52,1,0.20391705069124422,276,0.008476398145020115,0.8985507246376812,0.10144927536231885,0.8260869565217391,0.8467741935483871,0.6428571428571429,0.5871441294800528,0.05257823776911028,0.8927551365130063,>=,40,>=,5,>=,50,1,0.18945079310932966,0.038461538461538464,0,0,-2,0
>=,59,<=,15,>=,42,0,0.28495065789473684,460,0.014127330241700193,0.8347826086956521,0.16521739130434782,0.3826086956521739,0.4296875,0.14473684210526316,0.9187985626977059,0.9873161143699518,0.7135837351432696,>=,65,<=,15,>=,42,0,0.18112244897959184,0.1016949152542373,6,0,0,0
<=,51,<=,10,<=,57,1,0.2233418688885646,893,0.02742544762138755,0.7469204927211646,0.2530795072788354,0.43673012318029114,0.49325337331334335,0.26991150442477874,0.8198765394183225,0.6770369460397407,0.9195970639722367,<=,46,<=,10,<=,57,1,0.19478688406059075,0.09803921568627451,-5,0,0,0
>=,31,>=,5,<=,55,1,0.2115259631615345,1956,0.06007186511470778,0.7724948875255624,0.22750511247443764,0.6712678936605317,0.7193911317008603,0.5078651685393258,0.35195479254322654,0.05257823776911028,0.9160959429992936,>=,30,>=,5,<=,53,1,0.19960814876684851,0.0686217008797654,-1,0,-2,0
>=,51,>=,13,<=,56,1,0.20898946709771615,266,0.008169282270200546,0.8383458646616542,0.16165413533834586,0.849624060150376,0.8834080717488789,0.6744186046511628,0.8198765394183225,0.9167101747489328,0.9190749669850434,>=,51,>=,13,<=,54,1,0.19146930599740775,0.03571428571428571,0,0,-2,0
<=,47,<=,11,>=,55,1,0.35416666666666674,102,0.003132581923159608,0.9411764705882353,0.058823529411764705,0.5,0.5208333333333334,0.16666666666666666,0.7487177912226283,0.7194803599398053,0.9160959429992936,<=,47,<=,11,>=,54,0,0.19701496172299302,1.018181818181818,0,0,-1,-1
>=,47,<=,14,<=,43,1,0.21956096315834261,599,0.018396240901692208,0.7312186978297162,0.2687813021702838,0.5642737896494157,0.6232876712328768,0.40372670807453415,0.7487177912226283,0.9696262399803446,0.7182211848530451,>=,45,<=,14,<=,44,1,0.19907773386034255,0.06580900544285007,-2,0,1,0
>=,38,>=,4,<=,51,0,0.2489254890446289,12058,0.3703203218574368,0.6699286780560624,0.3300713219439376,0.2954055398905291,0.37756870512503093,0.12864321608040202,0.5376984736341022,0.036792481803384416,0.8885169374404963,>=,38,>=,4,<=,49,1,0.1884139109680366,1.0392156862745099,0,0,-2,1
>=,32,>=,9,>=,54,0,0.27307894587348797,2104,0.06461718006203741,0.8559885931558935,0.14401140684410646,0.45817490494296575,0.4975013881177124,0.22442244224422442,0.3773839869782869,0.4531187617087927,0.8947821012868156,>=,31,>=,9,>=,53,1,0.19927390076643814,1.0497685185185186,-1,0,-1,1
<=,54,<=,15,>=,46,0,0.2089457379691073,5418,0.1663953809772427,0.8274270948689554,0.17257290513104467,0.3536360280546327,0.38969440107071157,0.18074866310160428,0.8615521636313381,0.9873161143699518,0.7832683271398299,<=,49,<=,15,>=,46,0,0.19809667647032844,0.09259259259259259,-5,0,0,0
