age_th,edu_th,hours_th,gain_val,original_spd,selected_rows,selectivity,male_ratio,female_ratio,positive_rate,male_positive_rate,female_positive_rate,age_percentile,edu_percentile,hours_percentile,repair_age_th,repair_edu_th,repair_hours_th,repair_gain_val,repair_spd,distance,delta_age,delta_edu,delta_hours,delta_gain
57,11,30,1,0.2301183750336292,1137,0.03491907496698504,0.7783641160949868,0.22163588390501318,0.7941952506596306,0.8451977401129943,0.6150793650793651,0.8966555081232149,0.7194803599398053,0.16108227634286415,57,14,30,1,0.1631646443721022,0.2727272727272727,0,3,0,0
38,10,30,1,0.21957471294431513,615,0.018887626301403518,0.71869918699187,0.2813008130081301,0.6260162601626016,0.6877828054298643,0.4682080924855491,0.5376984736341022,0.6770369460397407,0.16108227634286415,38,9,30,1,0.18823285398230089,0.1,0,-1,0,0
47,15,36,1,0.20620391558606666,1519,0.0466509013850926,0.7880184331797235,0.2119815668202765,0.6221198156682027,0.6658312447786132,0.45962732919254656,0.7487177912226283,0.9873161143699518,0.2180522711218943,46,15,36,1,0.19446188980873536,0.02127659574468085,-1,0,0,0
59,16,51,0,0.20960815888352125,208,0.006388010196247044,0.7788461538461539,0.22115384615384615,0.7067307692307693,0.7530864197530864,0.5434782608695652,0.9187985626977059,1.0,0.8885169374404963,59,16,52,0,0.19527476830700952,0.0196078431372549,0,0,1,0
55,12,51,1,0.27421602787456445,233,0.007155799883295968,0.8798283261802575,0.12017167381974249,0.8841201716738197,0.9170731707317074,0.6428571428571429,0.874420318786278,0.7522496237830534,0.8885169374404963,55,12,50,1,0.18514181628935733,0.0196078431372549,0,0,-1,0
47,10,57,0,0.3538602941176471,387,0.011885384355517337,0.834625322997416,0.165374677002584,0.5297157622739018,0.5882352941176471,0.234375,0.7487177912226283,0.6770369460397407,0.9195970639722367,49,10,55,1,0.17231222385861555,1.0776409107876073,2,0,-2,1
40,9,60,0,0.2526610644257703,402,0.012346058167746692,0.8880597014925373,0.11194029850746269,0.291044776119403,0.31932773109243695,0.06666666666666667,0.5871441294800528,0.4531187617087927,0.9659101378950278,37,9,61,0,0.1903545193229,0.09166666666666666,-3,0,1,0
56,14,49,1,0.22720550025982328,362,0.011117594668468412,0.7430939226519337,0.2569060773480663,0.48066298342541436,0.5390334572490706,0.3118279569892473,0.8856607598046743,0.9696262399803446,0.8015417216915942,58,14,47,1,0.19879518072289154,0.07653061224489796,2,0,-2,0
52,6,60,1,0.2200284832240887,1905,0.05850557415312797,0.7511811023622047,0.24881889763779527,0.6251968503937008,0.6799440950384347,0.459915611814346,0.8345566782346979,0.08123214888977612,0.9659101378950278,52,6,60,0,0.16819055500519195,1.0,0,0,0,-1
46,9,45,0,0.32181628675077156,2031,0.06237523417585455,0.826686361398326,0.17331363860167406,0.5046774987690793,0.5604526503871352,0.23863636363636365,0.7269739872854027,0.4531187617087927,0.7807499769663094,47,9,45,1,0.19293218720152816,1.0217391304347827,1,0,0,1
51,10,40,1,0.2510157216039569,384,0.011793249593071466,0.8671875,0.1328125,0.8255208333333334,0.8588588588588588,0.6078431372549019,0.8198765394183225,0.6770369460397407,0.7057522803353705,51,10,41,1,0.09304812834224596,0.025,0,0,1,0
38,12,41,0,0.2687853749440421,2777,0.08528607843739443,0.8170687792581923,0.1829312207418077,0.3298523586604249,0.37902159541648306,0.11023622047244094,0.5376984736341022,0.7522496237830534,0.7068578974847209,38,14,41,1,0.1804607508532423,1.1666666666666667,0,2,0,1
43,12,44,1,0.22777777777777786,312,0.009582015294370565,0.7692307692307693,0.23076923076923078,0.8141025641025641,0.8666666666666667,0.6388888888888888,0.6595620527625073,0.7522496237830534,0.7247320413992199,43,13,44,1,0.16350301984469373,0.08333333333333333,0,1,0,0
30,16,42,0,0.25640224486609253,6659,0.2045084610423513,0.8262501877158732,0.17374981228412675,0.4158282024327977,0.46037804434751,0.20397579948141745,0.3246829028592488,1.0,0.7135837351432696,30,16,42,1,0.1467252103915112,1.0,0,0,0,1
55,11,53,0,0.2633729706400664,7055,0.21667024968520623,0.6473423104181432,0.35265768958185684,0.3485471296952516,0.4414276330194876,0.17805466237942122,0.874420318786278,0.7194803599398053,0.8935229262000552,55,9,53,0,0.17253930758769065,0.18181818181818182,0,-2,0,0
27,2,22,0,0.2134895367399492,21481,0.6597156106999171,0.7015502071598156,0.29844979284018436,0.2733112983566873,0.33702720637027206,0.12353766963032288,0.2466447590675962,0.00672583765854857,0.092011916095943,23,2,22,0,0.19593717958244994,0.14814814814814814,-4,0,0,0
47,13,54,1,0.20741687979539647,1263,0.03878873498971162,0.7268408551068883,0.27315914489311166,0.5217735550277118,0.5784313725490197,0.3710144927536232,0.7487177912226283,0.9167101747489328,0.8947821012868156,46,13,54,1,0.19818787610920346,0.02127659574468085,-1,0,0,0
53,8,30,1,-0.2140232700551133,117,0.0035932557353889625,0.39316239316239315,0.6068376068376068,0.28205128205128205,0.15217391304347827,0.36619718309859156,0.848806854826326,0.13061638156076288,0.16108227634286415,55,8,30,1,-0.18119139547710975,0.03773584905660377,2,0,0,0
50,13,55,1,0.2168674698795181,294,0.009029206719695341,0.8469387755102041,0.15306122448979592,0.8503401360544217,0.8835341365461847,0.6666666666666666,0.8016031448665581,0.9167101747489328,0.9160959429992936,50,13,54,1,0.19949443882709805,0.01818181818181818,0,0,-1,0
28,13,34,0,0.20555264775978332,17543,0.5387733791959707,0.716012084592145,0.283987915407855,0.2561705523570655,0.31454502030093145,0.10899237254114813,0.2732717054144529,0.9167101747489328,0.1714627929117656,27,13,35,0,0.19987865062987387,0.06512605042016806,-1,0,1,0
37,11,58,0,0.2714755860030895,814,0.02499923221031295,0.871007371007371,0.128992628992629,0.3316953316953317,0.36671368124118475,0.09523809523809523,0.5122999907865238,0.7194803599398053,0.9204569884217315,37,11,63,0,0.19621318373071528,0.08620689655172414,0,0,5,0
56,5,41,1,0.2353081019399011,327,0.01004268910659992,0.7308868501529052,0.2691131498470948,0.5015290519877675,0.5648535564853556,0.32954545454545453,0.8856607598046743,0.05257823776911028,0.7068578974847209,56,5,39,1,0.16127110228401192,0.04878048780487805,0,0,-2,0
52,11,32,1,0.21164021164021163,333,0.010226958631491662,0.8108108108108109,0.1891891891891892,0.5525525525525525,0.5925925925925926,0.38095238095238093,0.8345566782346979,0.7194803599398053,0.1694051165504745,55,11,32,1,0.1857520786092215,0.057692307692307696,3,0,0,0
27,1,21,1,0.20233582295988928,2357,0.07238721169497252,0.7955027577428935,0.2044972422571065,0.6775562155282139,0.7189333333333333,0.516597510373444,0.2466447590675962,0.001566290961579804,0.0906606062467369,26,1,21,1,0.19959592973119467,0.037037037037037035,-1,0,0,0
53,12,42,1,0.24372759856630832,102,0.003132581923159608,0.9117647058823529,0.08823529411764706,0.6666666666666666,0.6881720430107527,0.4444444444444444,0.848806854826326,0.7522496237830534,0.7135837351432696,49,12,42,1,0.19798657718120805,0.07547169811320754,-4,0,0,0
57,4,32,1,0.22305525934432502,2108,0.06474002641196523,0.7922201138519924,0.2077798861480076,0.6584440227703985,0.7047904191616766,0.4817351598173516,0.8966555081232149,0.036792481803384416,0.1694051165504745,57,4,32,0,0.19096365165836207,1.0,0,0,0,-1
55,16,58,0,0.27952421410365336,258,0.007923589570344891,0.8294573643410853,0.17054263565891473,0.3682170542635659,0.4158878504672897,0.13636363636363635,0.874420318786278,1.0,0.9204569884217315,55,16,61,0,0.17184942716857612,0.05172413793103448,0,0,3,0
38,2,41,0,0.20431089075590353,9624,0.29556831792635363,0.6343516209476309,0.3656483790523691,0.24355777223607647,0.31826371826371824,0.11395282750781471,0.5376984736341022,0.00672583765854857,0.7068578974847209,37,2,41,0,0.1986196393530576,0.02631578947368421,-1,0,0,0
49,15,52,0,0.27801216557379826,676,0.020761033137802892,0.8476331360946746,0.15236686390532544,0.42011834319526625,0.462478184991274,0.18446601941747573,0.7831147692024201,0.9873161143699518,0.8927551365130063,49,15,53,1,0.18914285714285706,1.0192307692307692,0,0,1,1
47,11,29,0,0.3699457363862533,2096,0.06437148736218175,0.7562022900763359,0.24379770992366412,0.5419847328244275,0.6321766561514196,0.2622309197651663,0.7487177912226283,0.7194803599398053,0.12579466232609562,47,11,31,1,0.19434218174772333,1.0689655172413792,0,0,2,1
45,8,52,1,0.2196620583717358,207,0.006357298608765087,0.8985507246376812,0.10144927536231885,0.8164251207729468,0.8387096774193549,0.6190476190476191,0.7043395473112005,0.13061638156076288,0.8927551365130063,45,8,50,1,0.19282585337631208,0.038461538461538464,0,0,-2,0
27,14,60,1,0.2206293706293706,246,0.007555050520561408,0.8943089430894309,0.10569105691056911,0.7357723577235772,0.759090909090909,0.5384615384615384,0.2466447590675962,0.9696262399803446,0.9659101378950278,29,14,60,1,0.17592592592592593,0.07407407407407407,2,0,0,0
37,8,35,1,0.2188034642155039,1588,0.048770000921347624,0.8173803526448362,0.18261964735516373,0.7512594458438288,0.7912172573189522,0.5724137931034483,0.5122999907865238,0.13061638156076288,0.21129572187586376,37,8,41,1,0.16796338672768873,0.17142857142857143,0,0,6,0
49,9,34,0,0.20513693473094274,2773,0.0851632320874666,0.7266498377208799,0.27335016227912007,0.20447169130905157,0.26054590570719605,0.055408970976253295,0.7831147692024201,0.4531187617087927,0.1714627929117656,51,9,34,0,0.19888724733431828,0.04081632653061224,2,0,0,0
32,5,39,1,0.22990150302613677,1856,0.05700070636651208,0.8313577586206896,0.16864224137931033,0.724676724137931,0.7634478289047311,0.5335463258785943,0.3773839869782869,0.05257823776911028,0.23841405362243173,32,5,41,1,0.16926564344746164,0.05128205128205128,0,0,2,0
29,9,42,0,0.21693037401788626,2519,0.07736248886704954,0.8455736403334657,0.15442635966653434,0.2425565700674871,0.27605633802816903,0.05912596401028278,0.29824022603728384,0.4531187617087927,0.7135837351432696,29,9,40,0,0.1454466013692094,0.047619047619047616,0,0,-2,0
59,10,57,1,0.2457820337437301,1389,0.04265839501243819,0.7429805615550756,0.2570194384449244,0.7120230381569475,0.7751937984496124,0.5294117647058824,0.9187985626977059,0.6770369460397407,0.9195970639722367,59,12,57,1,0.19402481791205828,0.2,0,2,0,0
46,13,32,0,0.3045948214094585,4542,0.13949203034304844,0.691545574636724,0.3084544253632761,0.4090708938793483,0.5030245144858325,0.198429693076374,0.7269739872854027,0.9167101747489328,0.1694051165504745,43,13,32,1,0.19837443428465873,1.065217391304348,-3,0,0,1
26,13,39,0,0.33434356875586424,5267,0.1617579312674672,0.7434972470096829,0.25650275299031705,0.5061704955382571,0.5919305413687436,0.25758697261287933,0.22100058352016216,0.9167101747489328,0.23841405362243173,26,15,41,0,0.148202614379085,0.20512820512820512,0,2,2,0
43,7,38,1,0.2614448051948053,1084,0.033291360830441326,0.8523985239852399,0.14760147601476015,0.7666051660516605,0.8051948051948052,0.54375,0.6595620527625073,0.11731826418107552,0.23724701329811737,42,7,41,1,0.17986126232618915,0.102203182374541,-1,0,3,0
51,15,52,0,0.3172077148980078,379,0.011639691655661682,0.7730870712401056,0.22691292875989447,0.6754617414248021,0.7474402730375427,0.43023255813953487,0.8198765394183225,0.9873161143699518,0.8927551365130063,51,16,52,0,0.18553719008264458,0.06666666666666667,0,1,0,0
26,7,53,0,0.24408446542357726,2650,0.08138570682718589,0.8441509433962264,0.15584905660377357,0.40943396226415096,0.44747429593205185,0.2033898305084746,0.22100058352016216,0.11731826418107552,0.8935229262000552,26,7,50,1,0.15281757402101248,1.0566037735849056,0,0,-3,1
58,12,38,0,0.30991789819376026,437,0.013420963729615184,0.8009153318077803,0.19908466819221968,0.5125858123569794,0.5742857142857143,0.26436781609195403,0.9078959491416111,0.7522496237830534,0.23724701329811737,58,12,38,1,0.14402515723270448,1.0,0,0,0,1
43,11,52,0,0.36229927017906915,2942,0.09035349037191732,0.7263766145479266,0.27362338545207343,0.49422161794697483,0.5933551708001872,0.231055900621118,0.6595620527625073,0.7194803599398053,0.8927551365130063,43,13,52,1,0.17633906872752025,1.1818181818181819,0,2,0,1
45,13,35,1,0.20283059518493274,1213,0.03725315561561377,0.7765869744435284,0.22341302555647155,0.5523495465787304,0.5976645435244161,0.3948339483394834,0.7043395473112005,0.9167101747489328,0.21129572187586376,45,13,36,1,0.1942620223459774,0.02857142857142857,0,0,1,0
43,15,32,0,0.2625152625152626,345,0.010595497681275145,0.7913043478260869,0.20869565217391303,0.6521739130434783,0.706959706959707,0.4444444444444444,0.6595620527625073,0.9873161143699518,0.1694051165504745,43,16,32,0,0.19600257898130236,0.06666666666666667,0,1,0,0
42,14,34,0,0.3432020385246609,953,0.029268142870304967,0.7145855194123819,0.28541448058761804,0.5246589716684156,0.6226138032305433,0.27941176470588236,0.6359141304014004,0.9696262399803446,0.1714627929117656,41,16,34,0,0.19469879518072286,0.16666666666666666,-1,2,0,0
59,4,29,1,0.21505973881633783,303,0.009305611007032954,0.8052805280528053,0.19471947194719472,0.6138613861386139,0.6557377049180327,0.4406779661016949,0.9187985626977059,0.036792481803384416,0.12579466232609562,58,4,29,1,0.1933667781493868,0.01694915254237288,-1,0,0,0
48,1,45,0,0.27672199339341785,1892,0.058106323515862535,0.8361522198731501,0.1638477801268499,0.4571881606765328,0.5025284450063211,0.22580645161290322,0.7653941832253309,0.001566290961579804,0.7807499769663094,48,1,45,1,0.16267465069860287,1.0,0,0,0,1
29,9,39,1,0.21939778829880996,1918,0.05890482479039342,0.8274244004171012,0.17257559958289886,0.7283628779979145,0.7662255828607435,0.5468277945619335,0.29824022603728384,0.4531187617087927,0.23841405362243173,29,9,41,1,0.15652145192720546,0.05128205128205128,0,0,2,0
52,11,53,0,0.20961717441211145,1647,0.05058198458278308,0.8621736490588949,0.13782635094110504,0.25561627200971465,0.28450704225352114,0.07488986784140969,0.8345566782346979,0.7194803599398053,0.8935229262000552,50,11,53,0,0.19855698216111806,0.038461538461538464,-2,0,0,0
28,8,49,0,0.23126067297704905,4537,0.13933847240563865,0.8428476967158915,0.15715230328410845,0.44456689442362796,0.48091004184100417,0.2496493688639551,0.2732717054144529,0.13061638156076288,0.8015417216915942,28,8,49,1,0.15841088605615083,1.0,0,0,0,1
57,14,29,1,0.22143479833711882,1983,0.06090107797672062,0.7801311144730206,0.21986888552697934,0.6222894604135148,0.6709760827407886,0.44954128440366975,0.8966555081232149,0.9696262399803446,0.12579466232609562,57,14,29,0,0.17491562599157626,1.0,0,0,0,-1
28,10,60,1,0.22930082382990968,1593,0.04892355885875741,0.77338355304457,0.22661644695543,0.7645951035781544,0.8165584415584416,0.5872576177285319,0.2732717054144529,0.6770369460397407,0.9659101378950278,29,11,60,1,0.19047619047619047,0.13571428571428573,1,1,0,0
46,16,43,1,0.21975662133142443,684,0.021006725837658547,0.7426900584795322,0.2573099415204678,0.5950292397660819,0.6515748031496063,0.4318181818181818,0.7269739872854027,1.0,0.7182211848530451,46,16,39,1,0.07471264367816094,0.09302325581395349,0,0,-4,0
47,12,34,1,0.21547775199273533,753,0.023125825373913576,0.7742363877822045,0.22576361221779548,0.8021248339973439,0.8507718696397941,0.6352941176470588,0.7487177912226283,0.7522496237830534,0.1714627929117656,43,12,34,1,0.1809725429817809,0.0851063829787234,-4,0,0,0
47,13,41,0,0.36745075168481073,787,0.024170019348300115,0.8170266836086404,0.18297331639135958,0.6543837357052097,0.7216174183514774,0.3541666666666667,0.7487177912226283,0.9167101747489328,0.7068578974847209,47,15,41,0,0.06746031746031744,0.15384615384615385,0,2,0,0
45,12,41,0,0.28715744618323413,1708,0.05245539141918246,0.8173302107728337,0.18266978922716628,0.3436768149882904,0.3961318051575931,0.10897435897435898,0.7043395473112005,0.7522496237830534,0.7068578974847209,49,12,41,1,0.19798657718120805,1.0888888888888888,4,0,0,1
52,12,44,0,0.29095426280248804,2668,0.08193851540186112,0.79047976011994,0.20952023988005997,0.5341079460269865,0.5950687529634898,0.3041144901610018,0.8345566782346979,0.7522496237830534,0.7247320413992199,52,15,44,0,0.1311154598825831,0.25,0,3,0,0
52,12,56,1,0.25396825396825395,255,0.00783145480789902,0.8235294117647058,0.17647058823529413,0.8313725490196079,0.8761904761904762,0.6222222222222222,0.8345566782346979,0.7522496237830534,0.9190749669850434,51,13,54,1,0.19146930599740775,0.1382783882783883,-1,1,-2,0
55,13,35,1,0.2426881397023305,1648,0.050612696170265044,0.7973300970873787,0.20266990291262135,0.5976941747572816,0.6468797564687976,0.4041916167664671,0.874420318786278,0.9167101747489328,0.21129572187586376,55,13,41,1,0.1936454849498328,0.17142857142857143,0,0,6,0
52,10,45,1,0.2295682997523818,850,0.026104849359663403,0.6835294117647058,0.3164705882352941,0.6364705882352941,0.7091222030981067,0.4795539033457249,0.8345566782346979,0.6770369460397407,0.7807499769663094,52,9,45,1,0.1966755487882248,0.1,0,-1,0,0
58,6,54,1,0.24090462143559488,375,0.011516845305733853,0.904,0.096,0.7733333333333333,0.7964601769911505,0.5555555555555556,0.9078959491416111,0.08123214888977612,0.8947821012868156,58,6,50,1,0.17353881043191421,0.07407407407407407,0,0,-4,0
29,15,60,1,0.20617960795301365,2216,0.06805687786001659,0.7775270758122743,0.22247292418772563,0.6592960288808665,0.7051654091700522,0.49898580121703856,0.29824022603728384,0.9873161143699518,0.9659101378950278,29,15,54,1,0.19794321210369759,0.1,0,0,-6,0
57,16,23,1,0.2140097477239984,2192,0.06731979976044962,0.7833029197080292,0.2166970802919708,0.645529197080292,0.6919044845661037,0.47789473684210526,0.8966555081232149,1.0,0.09265685943306409,57,16,23,0,0.1809971002775338,1.0,0,0,0,-1
27,11,43,0,0.22055191999012225,4352,0.1336568287214766,0.8363970588235294,0.1636029411764706,0.2743566176470588,0.31043956043956045,0.0898876404494382,0.2466447590675962,0.7194803599398053,0.7182211848530451,27,11,40,0,0.16726826070037892,0.06976744186046512,0,0,-3,0
25,6,36,1,0.21874300111982092,2186,0.06713553023555788,0.8170173833485819,0.18298261665141813,0.6912168344007319,0.7312430011198209,0.5125,0.19689198734682595,0.08123214888977612,0.2180522711218943,25,6,41,1,0.1699965241571081,0.1388888888888889,0,0,5,0
26,11,56,1,0.21125737045929116,1103,0.033874880992598506,0.7669990933816863,0.23300090661831369,0.7923844061650045,0.8416075650118203,0.6303501945525292,0.22100058352016216,0.7194803599398053,0.9190749669850434,26,12,56,1,0.1964912280701755,0.09090909090909091,0,1,0,0
33,11,50,0,0.230182129136833,2321,0.07128159454562207,0.8655751831107281,0.13442481688927185,0.32744506678155966,0.3583872573419612,0.1282051282051282,0.40425662602499923,0.7194803599398053,0.8881176868032309,33,8,50,0,0.07586456635886293,0.2727272727272727,0,-3,0,0
32,6,49,0,0.23850921677533604,4050,0.12438192930192561,0.8503703703703703,0.14962962962962964,0.46024691358024694,0.4959349593495935,0.25742574257425743,0.3773839869782869,0.08123214888977612,0.8015417216915942,32,6,49,1,0.16136517998641609,1.0,0,0,0,1
57,12,24,0,0.20189182024917338,2000,0.06142317496391388,0.687,0.313,0.201,0.26419213973799127,0.06230031948881789,0.8966555081232149,0.7522496237830534,0.10039617947851724,58,12,24,0,0.19393858438339492,0.017543859649122806,1,0,0,0
34,6,51,0,0.24220358628928448,14070,0.43211203587113417,0.6690120824449183,0.3309879175550817,0.2947405828002843,0.3749070434505471,0.1327034571612626,0.4314670925340131,0.08123214888977612,0.8885169374404963,34,6,49,1,0.195899120037051,1.0392156862745099,0,0,-2,1
60,1,46,1,0.237962962962963,291,0.00893707195724947,0.7422680412371134,0.25773195876288657,0.44329896907216493,0.5046296296296297,0.26666666666666666,0.9283805779920764,0.001566290961579804,0.7832683271398299,60,1,46,0,0.1863991464429093,1.0,0,0,0,-1
38,14,60,0,0.2910178156871951,1139,0.03498049814194896,0.8630377524143986,0.1369622475856014,0.398595258999122,0.43845371312309256,0.14743589743589744,0.5376984736341022,0.9696262399803446,0.9659101378950278,39,14,60,1,0.19025875190258745,1.0263157894736843,1,0,0,1
57,13,55,1,0.23283828639997511,1658,0.05091981204508461,0.7515078407720145,0.24849215922798554,0.5633293124246079,0.6211878009630819,0.3883495145631068,0.8966555081232149,0.9167101747489328,0.9160959429992936,57,13,55,0,0.14208713401177753,1.0,0,0,0,-1
38,14,21,1,0.20365344992210666,1503,0.04615951598538128,0.8023952095808383,0.19760479041916168,0.6852960745176314,0.7255389718076285,0.5218855218855218,0.5376984736341022,0.9696262399803446,0.0906606062467369,37,14,21,1,0.19853896831443552,0.02631578947368421,-1,0,0,0
54,5,40,0,0.22782959635033384,2959,0.0908755873591106,0.639743156471781,0.360256843528219,0.22642784724569112,0.3085050184891706,0.08067542213883677,0.8615521636313381,0.05257823776911028,0.7057522803353705,54,5,39,0,0.14368757822356484,0.025,0,0,-1,0
48,9,20,1,0.24427936988429289,823,0.025275636497650564,0.818955042527339,0.181044957472661,0.7302551640340219,0.7744807121661721,0.5302013422818792,0.7653941832253309,0.4531187617087927,0.08992352814716993,48,12,20,1,0.19894800539961832,0.3333333333333333,0,3,0,0
52,13,51,0,0.34643287377861054,1016,0.031202972881668255,0.7627952755905512,0.2372047244094488,0.5049212598425197,0.5870967741935483,0.24066390041493776,0.8345566782346979,0.9167101747489328,0.8885169374404963,52,13,51,1,0.18535469107551483,1.0,0,0,0,1
28,12,58,1,0.20836960577042657,1252,0.038450907527410094,0.755591054313099,0.24440894568690097,0.5103833865814696,0.5613107822410148,0.35294117647058826,0.2732717054144529,0.7522496237830534,0.9204569884217315,27,12,58,1,0.19993514135173446,0.03571428571428571,-1,0,0,0
37,13,28,1,0.22598118055940697,1342,0.04121495040078622,0.815946348733234,0.184053651266766,0.6661698956780924,0.7077625570776256,0.4817813765182186,0.5122999907865238,0.9167101747489328,0.12557968121372193,37,11,29,1,0.1999236058059588,0.18956043956043955,0,-2,1,0
43,9,42,1,0.2251446925850732,724,0.022235189336936825,0.7472375690607734,0.2527624309392265,0.643646408839779,0.7005545286506469,0.47540983606557374,0.6595620527625073,0.4531187617087927,0.7135837351432696,41,9,42,1,0.19186328610080844,0.046511627906976744,-2,0,0,0
50,13,27,1,0.21974717722140402,1500,0.04606738122293541,0.776,0.224,0.5693333333333334,0.6185567010309279,0.39880952380952384,0.8016031448665581,0.9167101747489328,0.12293848469027364,50,12,27,1,0.19938113959329,0.07692307692307693,0,-1,0,0
26,1,30,0,0.21141714224978808,21611,0.6637081170725715,0.7061681551061959,0.2938318448938041,0.2713432973948452,0.3334643863442763,0.1220472440944882,0.22100058352016216,0.001566290961579804,0.16108227634286415,23,1,30,0,0.19792804138995962,0.11538461538461539,-3,0,0,0
55,4,20,1,0.2221303039703761,2155,0.06618347102361721,0.774013921113689,0.2259860788863109,0.6380510440835266,0.6882494004796164,0.46611909650924027,0.874420318786278,0.036792481803384416,0.08992352814716993,55,4,20,0,0.17719386834350398,1.0,0,0,0,-1
45,13,56,0,0.24559045375622324,7514,0.23076686833942447,0.6688847484695235,0.33111525153047644,0.2575192973116849,0.33883804218066055,0.0932475884244373,0.7043395473112005,0.9167101747489328,0.9190749669850434,42,12,56,0,0.19667191623204452,0.14358974358974358,-3,-1,0,0
47,16,60,0,0.20957937263635823,1699,0.052178987131844844,0.848145968216598,0.151854031783402,0.3366686286050618,0.3684941013185288,0.15891472868217055,0.7487177912226283,1.0,0.9659101378950278,46,16,61,0,0.1953416641443623,0.03794326241134752,-1,0,1,0
57,14,57,1,0.2185663532631285,1859,0.057092841128957954,0.743410435718128,0.25658956428187196,0.5922538999462076,0.6483357452966715,0.429769392033543,0.8966555081232149,0.9696262399803446,0.9195970639722367,57,14,57,0,0.15398964066424042,1.0,0,0,0,-1
50,14,57,0,0.36583941118547325,562,0.0172599121648598,0.7455516014234875,0.25444839857651247,0.6014234875444839,0.6945107398568019,0.32867132867132864,0.8016031448665581,0.9696262399803446,0.9195970639722367,50,14,57,1,0.10554621848739498,1.0,0,0,0,1
28,13,45,0,0.2919971183659739,2478,0.0761033137802893,0.8099273607748184,0.1900726392251816,0.6101694915254238,0.6656701544593921,0.37367303609341823,0.2732717054144529,0.9167101747489328,0.7807499769663094,28,15,45,0,0.1440124988512086,0.15384615384615385,0,2,0,0
25,8,26,1,0.21058136046404619,2270,0.06971530358404227,0.7960352422907488,0.2039647577092511,0.6903083700440529,0.7332595462091865,0.5226781857451404,0.19689198734682595,0.13061638156076288,0.12201713706581493,29,8,24,1,0.1990632318501171,0.23692307692307693,4,0,-2,0
30,13,31,0,0.21405470770026586,16399,0.5036393231166119,0.7142508689554241,0.2857491310445759,0.2642844075858284,0.32545035430718006,0.11139564660691421,0.3246829028592488,0.9167101747489328,0.16123583428027394,30,12,31,0,0.18008608853963376,0.07692307692307693,0,-1,0,0
42,11,41,0,0.3505359008807284,1493,0.045852400110561714,0.8158070997990623,0.1841929002009377,0.6168787675820495,0.6814449917898193,0.33090909090909093,0.6359141304014004,0.7194803599398053,0.7068578974847209,42,11,41,1,0.15941568751984758,1.0,0,0,0,1
